"speaker","text","neg","neu","pos","compound","start_time","end_time","length"
"TAPPER"," An enthusiastic audience at the historic Fox Theatre in downtown Detroit Michigan.  Welcome to our viewers in the United States and around the world watching us on CNN CNN International CNN en Espanol CNN.com and listening on SiriusXM and the Westwood One Radio Network.  ","0.0","0.82","0.18","0.8402",5.22,27.259998999999997,22.039998999999998
"TAPPER","This is the CNN Democratic presidential debate.  And a special welcome to the U.S. military members diplomatic corps and their families serving overseas and watching on the American Forces Network.","0.0","0.826","0.174","0.6908",27.380000000000003,41.24,13.86
"TAPPER","I'm Jake Tapper anchor of ""The Lead"" and ""State of the Union"" along with CNN's chief political correspondent Dana Bash and Don Lemon anchor of ""CNN Tonight.""","0.0","1.0","0.0","0.0",41.8,51.5,9.700000000000003
"BASH"," The 20 Democratic presidential candidates were divided into two groups by random draw earlier this month.  The first 10 appeared last night.  Now it's time for the second 10.  ","0.0","1.0","0.0","0.0",51.75,63.069998999999996,11.319998999999996
"LEMON"," Please welcome from Delaware former Vice President Joe Biden.  ","0.0","0.569","0.431","0.6486",64.11999899999999,68.189999,4.070000000000007
"LEMON","From California Senator Kamala Harris.","0.0","1.0","0.0","0.0",68.199999,68.909999,0.7099999999999937
"HARRIS"," Hey Joe.","0.0","1.0","0.0","0.0",76.969999,81.39999999999999,4.43000099999999
"BIDEN"," Go easy on me kid.","0.0","0.58","0.42","0.4404",93.57,94.50999999999999,0.9399999999999977
"HARRIS"," How you doing?  You good?","0.0","0.551","0.449","0.504",95.25999999999999,96.49,1.230000000000004
"BIDEN"," I'm good.  ","0.0","0.256","0.744","0.4404",98.6,98.64999999999999,0.04999999999999716
"LEMON"," From New Jersey Senator Cory Booker.  ","0.0","1.0","0.0","0.0",99.41,102.01,2.6000000000000085
"LEMON"," From New York businessman Andrew Yang.  ","0.0","1.0","0.0","0.0",112.3,115.36999999999999,3.069999999999993
"LEMON","From Texas former Secretary of Housing and Urban Development Julian Castro.","0.0","1.0","0.0","0.0",125.02,130.72,5.700000000000003
"LEMON"," From Hawaii Congresswoman Tulsi Gabbard.  ","0.0","1.0","0.0","0.0",140.38,143.62,3.240000000000009
"LEMON","From New York Senator Kirsten Gillibrand.","0.0","1.0","0.0","0.0",153.169999,156.16,2.9900010000000066
"LEMON","From Washington state Governor Jay Inslee.","0.0","1.0","0.0","0.0",167.93,170.13,2.1999999999999886
"LEMON","From Colorado Senator Michael Bennet.","0.0","1.0","0.0","0.0",178.65,180.54,1.8899999999999864
"LEMON","From New York City Mayor Bill de Blasio.","0.0","1.0","0.0","0.0",189.11,200.35,11.23999999999998
"LEMON","Ladies and gentlemen the Democratic candidates for president of the United States.","0.0","0.797","0.203","0.4215",200.87,205.5,4.6299999999999955
"LEMON","Now please rise for the presentation of colors from the James Europe VFW Post 2233 and the District Four Honor Guard.  And please remain standing for our national anthem performed by Grammy and Tony Award-winning singer Dee Dee Bridgewater who was raised in Flint Michigan.","0.0","0.843","0.157","0.7783",224.46,241.12,16.659999999999997
"BRIDGEWATER"," (sings National Anthem)","0.0","1.0","0.0","0.0",999999999,0,-999999999
"LEMON"," The debate will begin right after this short break.  ","0.0","1.0","0.0","0.0",413.379999,416.12,2.7400010000000066
"TAPPER"," Welcome back to the CNN Democratic presidential debate.  Candidates we're about to begin opening statements.  But first a quick review of the ground rules that your campaigns agreed to earlier this month to try to ensure a fair debate.  ","0.0","0.767","0.233","0.8402",428.64,440.01,11.370000000000005
"TAPPER","As moderators we will attempt to guide the discussion.  You will each receive one minute to answer questions 30 seconds for responses and rebuttals and 15 additional seconds if a moderator asks for a clarification.  The timing lights will remind you of these limits.  Please respect them and please refrain from interrupting other candidates during their allotted time.  A candidate infringing on another candidate's time will have his or her time reduced.","0.029","0.868","0.103","0.6705",440.01,466.09999999999997,26.089999999999975
"TAPPER","We again remind our audience inside the Fox Theatre to try to remain silent when candidates are actively debating.  The candidates need to be able to properly hear the questions and each other.","0.0","0.933","0.067","0.3182",466.41,475.88,9.46999999999997
"BASH"," Let's start with opening statements.  You will each receive one minute.  Mayor Bill de Blasio please begin.  ","0.0","0.874","0.126","0.3182",477.21,483.81,6.600000000000023
