night,speaker,text,neg,neu,pos,compound
first,TAPPER,Good evening from the historic Fox Theater in downtown Detroit Michigan. This is the CNN Democratic presidential debate. Welcome to our viewers in the United States and around the world watching us on CNN CNN International CNN en Espanol CNN.com and listening on SiriusXM and the Westwood One Radio Network.,0,0.844,0.156,0.8271
first,TAPPER,And a special welcome to the U.S. military members diplomatic corps and their families serving overseas and watching on the American Forces Network.,0,0.778,0.222,0.6908
first,TAPPER,"I'm Jack Tapper anchor of ""The Lead"" and ""State of the Union"" along with CNN's chief political correspondent Dana Bash and Don Lemon anchor of ""CNN Tonight.""",0,1,0,0
first,BASH,We are looking forward to moderating one of the largest gatherings of Democratic presidential candidates. In back-to-back debates 20 candidates were divided in two groups by random draw earlier this month. The second group of 10 will appear on the stage at this time tomorrow night. The first 10 will make their entrance right now. ,0,1,0,0
first,LEMON,So please welcome from Vermont Senator Bernie Sanders.,0,0.505,0.495,0.707
first,LEMON,From Massachusetts Senator Elizabeth Warren.,0,1,0,0
first,LEMON,From South Bend Indiana Mayor Pete Buttigieg.,0,1,0,0
first,LEMON,From Texas former Congressman Beto O'Rourke.,0,1,0,0
first,LEMON,From Minnesota Senator Amy Klobuchar.,0,1,0,0
first,LEMON,From Colorado former Governor John Hickenlooper.,0,1,0,0
first,LEMON,From Ohio Congressman Tim Ryan.,0,1,0,0
first,LEMON,From Maryland former Congressman John Delaney.,0,1,0,0
first,LEMON,From Texas author Marianne Williamson.,0,1,0,0
first,LEMON,From Montana Governor Steve Bullock.,0,1,0,0
first,LEMON,Ladies and gentlemen the Democratic candidates for president of the United States.,0,0.797,0.203,0.4215
first,TAPPER,Now please rise for the presentation of colors from the James Europe VFW Post 2233 and District Four Honor Guard. And please remain standing for our national anthem performed by Detroit's own Pastor Marvin Winans and the Perfecting Church Choir. ,0,0.764,0.236,0.8779
first,LEMON,The stage is set. The debate will begin right after this short break. ,0,1,0,0
first,TAPPER,Welcome back to the CNN Democratic presidential debate candidates. We're about to begin opening statements. But first a review of the ground rules that your campaigns agreed to earlier this month to ensure a fair debate. As moderators we will attempt to guide the discussion. ,0,0.796,0.204,0.8402
first,TAPPER,You will each receive one minute to answer questions 30 seconds for responses and rebuttals and 15 additional seconds if a moderator asks for a clarification. The timing lights will remind you of these limits. Please respect that and please refrain from interrupting your fellow candidates during their allotted time. A candidate infringing on another candidate's time will have his or her time reduced.,0.033,0.852,0.115,0.6705
first,TAPPER,We also want to ask our audience inside the historic Fox Theater to remain silent when the candidates are actively debating. The candidates need to be able to hear the questions and hear one another.,0,0.902,0.098,0.3818
first,BASH,Time now for opening statements. You'll each receive one minute. ,0,1,0,0
first,BASH,Governor Steve Bullock please begin.,0,0.635,0.365,0.3182
first,BULLOCK,Thanks Dana ,0,0.256,0.744,0.4404
first,BULLOCK,I come from a state where a lot of people voted for Donald Trump. Let's not kid ourselves. He will be hard to beat. Yet watching that last debate folks seemed more concerned about scoring points or outdoing each other with wish-list economics than making sure Americans know we hear their voices and will help their lives.,0.024,0.889,0.087,0.5574
first,BULLOCK,Look I'm a pro-choice pro-union populist Democrat who won three elections in a red state. Not by compromising our values but by getting stuff done. That's how we win back the places we lost: showing up listening focusing on the challenges of everyday Americans.,0.058,0.728,0.214,0.7845
first,BULLOCK,That farmer getting hit right now by Trump's trade wars that teacher working a second job just to afford her insulin. They can't wait for a revolution. Their problems are in the here and now.,0.169,0.831,0,-0.743
first,BULLOCK,I'm a progressive emphasis on progress and I'm running for president to get stuff done for all those Americans Washington has left behind.,0,0.882,0.118,0.4215
first,BASH,Marianne Williamson? ,0,1,0,0
first,WILLIAMSON,Thank you. ,0,0.286,0.714,0.3612
first,WILLIAMSON,In 1776 our founders brought forth on this planet an extraordinary new possibility. It was the idea that people no matter who they were would simply have the possibility of thriving. We have not ever totally actualized this ideal. But at the times when we have done best we have tried. And when forces have opposed them generations of Americans have risen up and pushed back against those forces.,0.029,0.846,0.125,0.8141
first,WILLIAMSON,We did that with abolition and with women's suffrage and with civil rights. And now it is time for a generation of Americans to rise up again for an amoral economic system has turned short-term profits for huge multi-national corporations into a false god. And this new false god takes precedence over the safety and the health and the well-being of we the American people and the people of the world and the planet on which we live.,0.031,0.825,0.144,0.8225
first,WILLIAMSON,Conventional politics will not solve this problem because conventional politics is part of the problem. We the American people must rise up and do what we do best and create a new possibility say no to what we don't want and yes to what we know can be true.,0.219,0.633,0.148,-0.3447
first,WILLIAMSON,I'm Marianne Williamson and that's why I'm running for president.,0,1,0,0
first,BASH,Congressman John Delaney?,0,1,0,0
first,DELANEY,Folks we have a choice. We can go down the road that Senator Sanders and Senator Warren want to take us which is with bad policies like Medicare for all free everything and impossible promises that will turn off independent voters and get Trump re-elected. That's what happened with McGovern. That's what happened with Mondale. That's what happened with Dukakis. Or we can nominate someone with new ideas to create universal health care for every American with choice someone who wants to unify our country and grow the economy and create jobs everywhere. And then we win the White House. ,0.031,0.787,0.183,0.9371
first,DELANEY,I'm the product of the American dream. I believe in it. I'm the grandson of immigrants the son of a construction worker. My wife April and I have four amazing daughters. I was the youngest CEO in the history of the New York Stock Exchange created thousands of jobs and then served in Congress. That's the type of background  and my platform is about real solutions not impossible promises that can beat Trump and govern. Thank you.,0.027,0.825,0.148,0.8323
first,BASH,Congressman Tim Ryan?,0,1,0,0
first,RYAN,America is great but not everyone can access America's greatness. The systems that were built to lift us up are now suffocating the American people. The economic system that used to create $30 $40 $50 an hour jobs that you can have a good solid middle-class living now force us to have two or three jobs just to get by. ,0,0.834,0.166,0.8735
first,RYAN,Most families when they go to sit at the kitchen table to do their bills they get a pit in the middle of their stomach. We deserve better. And the political system is broken too because the entire conversation is about left or right where are you at on the political system? And I'm here to say this isn't about left or right. This is about new and better. And it's not about reforming old systems. It's about building new systems.,0.036,0.896,0.068,0.4019
first,RYAN,And tonight I will offer solutions that are bold that are realistic and that are a clean break from the past.,0,0.696,0.304,0.7184
first,BASH,Governor John Hickenlooper?,0,1,0,0
first,HICKENLOOPER,Last year Democrats flipped 40 Republican seats in the House and not one of those 40 Democrats supported the policies of our front-runners at center stage. ,0,0.916,0.084,0.3182
first,HICKENLOOPER,Now I share their progressive values but I'm a little more pragmatic. I was out of work for two whole years until I started what became the largest brew pub in America. And I learned the small  small business lessons of how to provide service and teamwork and became a top mayor and as governor of Colorado created the number one economy in the country.,0,0.849,0.151,0.765
first,HICKENLOOPER,We also expanded health care and reproductive rights. We attacked climate change head-on. We beat the NRA. We did not build massive government expansions.,0.106,0.78,0.113,0.0516
first,HICKENLOOPER,Now some will promise a bill tonight or a plan for tonight. What we focused on was making sure that we got people together to get things done to provide solutions to problems to make sure that we  that we worked together and created jobs. That's how we're going to beat Donald Trump. That's how we're going to win Michigan and the country.,0.037,0.729,0.234,0.9062
first,BASH,Senator Amy Klobuchar?,0,1,0,0
first,KLOBUCHAR,Let's get real. Tonight we debate but ultimately we have to beat Donald Trump. My background it's a little different than his. I stand before you today as a granddaughter of an iron ore miner as a daughter of a union teacher and a newspaper man as the first woman elected to the U.S. Senate from the state of Minnesota and a candidate for president of the United States. ,0,0.943,0.057,0.5719
first,KLOBUCHAR,That's because we come from a country of shared dreams and I have had it with the racist attacks. I have had it with a president that says one thing on TV that has your back and then you get home and you see those charges for prescription drugs and cable and college.,0.155,0.757,0.088,-0.5994
first,KLOBUCHAR,You're going to hear a lot of promises up here but I'm going to tell you this. Yes I have bold ideas but they are grounded in reality. And yes I will make some simple promises. I can win this. I'm from the Midwest. And I have won every race every place every time. And I will govern with integrity the integrity worthy of the extraordinary people of this nation.,0,0.592,0.408,0.99
first,BASH,Congressman Beto O'Rourke?,0,1,0,0
first,O'ROURKE,I'm running for president because I believe that America discovers its greatness at its moments of greatest need. This moment will define us forever and I believe that in this test America will be redeemed. ,0,0.827,0.173,0.7579
first,O'ROURKE,In the face of cruelty and fear from a lawless president we will choose to be the nation that stands up for the human rights of everyone for the rule of law for everyone and a democracy that serves everyone. Whatever our differences we know that before we are anything else we are Americans first and we will ensure that each one of us is well enough and educated enough and paid enough to realize our full potential.,0.085,0.859,0.056,-0.5267
first,O'ROURKE,We will meet these challenges here at home and we will lead the world in those that we face abroad successfully confronting endless war and climate change. At this moment of truth let us pursue our national promise and make a more perfect union of everyone by everyone and for everyone.,0.089,0.698,0.213,0.7645
first,BASH,Mayor Pete Buttigieg?,0,1,0,0
first,BUTTIGIEG,I'm running for president because our country is running out of time. It is even bigger than the emergency of the Trump presidency. Ask yourself how somebody like Donald Trump ever gets within cheating distance of the Oval Office in the first place. ,0.127,0.821,0.051,-0.5719
first,BUTTIGIEG,It doesn't happen unless America is already in a crisis  an economy that's not working for everyone endless war climate change. We have lived this in my industrial Midwestern hometown. My generation has lived this as long as we have been alive.,0.165,0.782,0.053,-0.7506
first,BUTTIGIEG,And it's only accelerating. Science tells us we have 12 years before we reach the horizon of catastrophe when it comes to our climate. By 2030 the average house in this country will cost half a million bucks and a women's right to choose may not even exist.,0.089,0.889,0.022,-0.6486
first,BUTTIGIEG,We are not going to be able to meet this moment by recycling the same arguments policies and politicians that have dominated Washington for as long as I have been alive. We've got to summon the courage to walk away from the past and do something different. This is our shot. That is why I'm running for president.,0.043,0.864,0.093,0.4767
first,BASH,Senator Elizabeth Warren?,0,1,0,0
first,WARREN,Donald Trump disgraces the office of president every single day. And anyone on this stage tonight or tomorrow night would be a far better president. I promise no matter who our candidate is I will work my heart out to beat Donald Trump and to elect a Democratic Congress. ,0.044,0.828,0.127,0.4767
first,WARREN,But our problems didn't start with Donald Trump. Donald Trump is part of a corrupt rigged system that has helped the wealthy and the well-connected and kicked dirt in the faces of everyone else.,0.194,0.742,0.064,-0.6249
first,WARREN,We're not going to solve the urgent problems that we face with small ideas and spinelessness. We're going to solve them by being the Democratic Party of big structural change. We need to be the party that fights for our democracy and our economy to work for everyone.,0.151,0.722,0.127,-0.0987
first,WARREN,You know I know what's broken in this country I know how to fix it and I will fight to make it happen.,0.241,0.759,0,-0.6908
first,BASH,Senator Bernie Sanders?,0,1,0,0
first,SANDERS,Tonight in America as we speak 87 million Americans are uninsured or underinsured but the health care industry made $100 billion in profits last year. ,0,0.738,0.262,0.8462
first,SANDERS,Tonight as we speak right now 500000 Americans are sleeping out on the street and yet companies like Amazon that made billions in profits did not pay one nickel in federal income tax.,0,0.775,0.225,0.7503
first,SANDERS,Tonight half of the American people are living paycheck to paycheck and yet 49 percent of all new income goes to the top 1 percent.,0,0.927,0.073,0.2023
first,SANDERS,Tonight the fossil fuel industry continues to receive hundreds of billions of dollars in subsidies and tax breaks while they destroy this planet. We have got to take on Trump's racism his sexism xenophobia and come together in an unprecedented grassroots movement to not only defeat Trump but to transform our economy and our government. ,0.082,0.888,0.03,-0.4696
first,TAPPER,Thank you Senator Sanders. ,0,0.545,0.455,0.3612
first,TAPPER,Let's start the debate with the number-one issue for Democratic voters health care. And Senator Sanders let's start with you. You support Medicare for all which would eventually take private health insurance away from more than 150 million Americans in exchange for government-sponsored health care for everyone.,0,0.829,0.171,0.8442
first,TAPPER,"Congressman Delaney just referred to it as bad policy. And previously he has called the idea ""political suicide that will just get President Trump re-elected."" What do you say to Congressman Delaney?",0.211,0.789,0,-0.8402
first,SANDERS,You're wrong. ,0.756,0.244,0,-0.4767
first,SANDERS,Right now we have a dysfunctional health care system: 87 million uninsured or underinsured $500000  500000 Americans every year going bankrupt because of medical bills 30000 people dying while the health care industry makes tens of billions of dollars in profit.,0.074,0.736,0.19,0.6908
first,SANDERS,Five minutes away from me and John is a country it's called Canada. They guarantee health care to every man woman and child as a human right. They spend half of what we spend. And by the way when you end up in a hospital in Canada you come out with no bill at all. Health care is a human right not a privilege. I believe that I will fight for that.,0.093,0.794,0.113,0.3591
first,TAPPER,Thank you Senator Sanders. ,0,0.545,0.455,0.3612
first,TAPPER,Congressman Delaney?,0,1,0,0
first,DELANEY,Well I'm right about this. We can create a universal health care system to give everyone basic health care for free and I have a proposal to do it. But we don't have to go around and be the party of subtraction and telling half the country who has private health insurance that their health insurance is illegal. ,0.053,0.704,0.243,0.9001
first,DELANEY,My dad the union electrician loved the health care he got from the IBEW. He would never want someone to take that away. Half of Medicare beneficiaries now have Medicare Advantage which is private insurance or supplemental plans. It's also bad policy. It'll underfund the industry many hospitals will close,0.078,0.726,0.196,0.8008
first,TAPPER,Thank you Congressman. ,0,0.444,0.556,0.3612
first,DELANEY, and it's bad policy. ,0.538,0.462,0,-0.5423
first,TAPPER,Senator Sanders I want to  I,0,0.698,0.302,0.0772
first,TAPPER,WARREN (?): My name was also mentioned in this.,0,1,0,0
first,TAPPER,We're going to come to you in one second but let me go to Senator Sanders right now. ,0,1,0,0
first,TAPPER,Senator Sanders?,0,1,0,0
first,SANDERS,The fact of the matter is tens of millions of people lose their health insurance every single year when they change jobs or their employer changes that insurance. If you want stability in the health care system if you want a system which gives you freedom of choice with regard to a doctor or a hospital which is a system which will not bankrupt you the answer is to get rid of the profiteering of the drug companies,0.051,0.783,0.166,0.8282
first,TAPPER,Thank you Senator. ,0,0.444,0.556,0.3612
first,SANDERS, and the insurance companies move to Medicare for all. ,0,1,0,0
first,TAPPER,Congressman Delaney? ,0,1,0,0
first,DELANEY,But now he's talking about a different issue. What I'm talking about is really simple. We should deal with the tragedy of the (ph),0.167,0.833,0,-0.6597
first,DELANEY,uninsured and give everyone health care as a right. But why do we got to be the party of taking something away from people?,0,0.781,0.219,0.7096
first,WARREN,No. No one is the party,0.436,0.297,0.267,-0.1779
first,TAPPER,Hold on one second Senator. ,0,1,0,0
first,DELANEY,That's what they're running on. They're running on,0,1,0,0
first,WARREN,No. ,1,0,0,-0.296
first,DELANEY, telling half the country that your health insurance is illegal. It says it right in the bill. ,0.184,0.816,0,-0.5574
first,TAPPER,All right thank you. ,0,0.545,0.455,0.3612
first,DELANEY,We don't have to do that. We can give everyone health care,0,0.775,0.225,0.4939
first,DELANEY,TAPPER (?): OK.,0,0.405,0.595,0.4466
first,DELANEY, and allow people to have choice. That's the American way. ,0,0.826,0.174,0.2263
first,TAPPER,Thank you Congressman. ,0,0.444,0.556,0.3612
first,TAPPER,Senator Warren?,0,1,0,0
first,WARREN,So look. Let's  let's be clear about this. We are the Democrats. We are not about trying to take away health care from anyone. That's what the Republicans are trying to do. ,0,0.838,0.162,0.7003
first,WARREN,And we should stop using Republican talking points in order to talk with each other about how to best provide that health care.,0.074,0.676,0.25,0.7351
