"speaker","text","neg","neu","pos","compound","firstmatch","starttime","lastmatch","endtime","simple","matched","ratio"
"HOLT","Good evening everyone. I'm Lester Holt and welcome to the first Democratic debate to the 2020 race for president.",0.0,0.742,0.258,0.7096,0,70.14,18,75.79,"good evening everyone i'm lester holt and welcome to the first democratic debate to the 2020 race for president","good evening everyone i'm lester holt and welcome to the first democratic debate in the 2020 race for president",0.9819819819819819
"GUTHRIE","Hi I'm Savannah Guthrie. And tonight it's our first chance to see these candidates go head to head on stage together.",0.0,0.909,0.091,0.25,19,75.86,37,81.81,"hi i'm savannah guthrie and tonight it's our first chance to see these candidates go head to head on stage together","savannah guthrie and tonight it's our first chance to see these candidates go head to head on stage together",0.968609865470852
"GUTHRIE","We'll be joined in our questioning time by our colleagues Jose Diaz-Balart Chuck Todd and Rachel Maddow.",0.08,0.92,0.0,-0.1027,39,82.09,55,86.73,"we'll be joined in our questioning time by our colleagues jose diaz-balart chuck todd and rachel maddow","be joined in our questioning tonight by our colleagues jose diaz balart chuck todd and rachel maddow",0.9261083743842364
"HOLT","Voters are trying to nail down where the candidates stand on the issues what sets them apart and which of these presidential hopefuls has what it takes.",0.0,1.0,0.0,0.0,56,86.74,81,94.63,"voters are trying to nail down where the candidates stand on the issues what sets them apart and which of these presidential hopefuls has what it takes","voters trying to nail down where the candidates stand on the issues what sets them apart and which of these presidential hopefuls has what it takes",0.9865771812080537
"GUTHRIE","Well now it's time to find out.",0.0,0.741,0.259,0.2732,82,94.64,87,96.15,"well now it's time to find out","now it's time to find out",0.9090909090909091
"ANNOUNCER","Tonight round one. New Jersey Senator Cory Booker. Former Housing Secretary Julian Castro. New York City Mayor Bill De Blasio. Former Maryland Congressman John Delaney. Hawaii Congresswoman Tulsi Gabbard. Washington Governor Jay Inslee. Minnesota Senator Amy Klobuchar. Former Texas Congressman Beto O'Rourke. Ohio Congressman Tim Ryan. And Massachusetts Senator Elizabeth Warren.",0.0,1.0,0.0,0.0,88,97.02,137,122.89,"tonight round one new jersey senator cory booker former housing secretary julian castro new york city mayor bill de blasio former maryland congressman john delaney hawaii congresswoman tulsi gabbard washington governor jay inslee minnesota senator amy klobuchar former texas congressman beto o'rourke ohio congressman tim ryan and massachusetts senator elizabeth warren","tonight round one new jersey senator cory booker former housing secretary julian castro new york city mayor bill de blasio former maryland congressman john delaney hawaii congresswoman tulsi gabbert washington governor jay inslee minnesota senator amy klobuchar former texas congressman beto aurora ohio congressman tin riot at massachusetts senator elizabeth",0.9587912087912088
"ANNOUNCER","From NBC News ""Decision 2020"" the Democratic candidates debate live from the Adrienne Arsht Performing Arts Center in Miami Florida.",0.0,1.0,0.0,0.0,139,124.04,155,134.37,"from nbc news decision 2020 the democratic candidates debate live from the adrienne arsht performing arts center in miami florida","from nbc news decision 2020 with democratic candidates debate from adrienne arsht performing arts center in miami",0.9173553719008265
"HOLT","And good evening again everyone. Welcome to the candidates and to our audience here in Miami here in the Arts Center and all across the country. Tonight we're going to take on many of the most pressing issues of the moment including immigration the situation unfolding at our border and the treatment of migrant children.",0.0,0.9,0.1,0.7096,159,155.89,237,181.81,"and good evening again everyone welcome to the candidates and to our audience here in miami here in the arts center and all across the country tonight we're going to take on many of the most pressing issues of the moment including immigration the situation unfolding at our border and the treatment of migrant children","the country tonight we're gonna take on many of the most pressing issues in the moment including immigration the situation unfolding at our border and the treatment of migrant children and we're gonna talk about the tensions with iran climate change and of course we'll talk about the economy the kitchen table issues so many americans face every day rules of the road before we begin 20 candidates qualified for this first debate we'll hear from 10 tonight and",0.4621309370988447
"GUTHRIE","And we're going to talk about the tensions with Iran climate change and of course we'll talk about the economy those kitchen table issues so many Americans face every day.",0.085,0.915,0.0,-0.4019,253,188.26,268,193.6,"and we're going to talk about the tensions with iran climate change and of course we'll talk about the economy those kitchen table issues so many americans face every day","to answer and 30 seconds for any follow ups because of this large field not every",0.38247011952191234
"DIAZ-BALART","And some quick rules of the road. Before we begin 20 candidates qualified for this first debate. We'll hear from 10 tonight and 10 more tomorrow. The breakdown for each was selected at random. The candidates will have 60 seconds to answer and 30 seconds for any follow-ups.",0.0,1.0,0.0,0.0,282,197.45,303,202.69,"and some quick rules of the road before we begin 20 candidates qualified for this first debate we'll hear from 10 tonight and 10 more tomorrow the breakdown for each was selected at random the candidates will have 60 seconds to answer and 30 seconds for any follow-ups","of the next two hours we will hear from everyone would also like to ask the audience to keep the reactions to",0.38726790450928383
