speaker,word,n,total,tf,idf,tf_idf
BENNET,trillion,7,1639,0.014198782961460446,1.2039728043259361,0.017094948540124853
BENNET,kids,6,1639,0.012170385395537525,0.9162907318741551,0.011151611341267608
BENNET,taxes,6,1639,0.012170385395537525,0.9162907318741551,0.011151611341267608
BENNET,option,5,1639,0.010141987829614604,1.2039728043259361,0.01221067752866061
BENNET,fixed,4,1639,0.008113590263691683,2.302585092994046,0.018682231991838102
BENNET,wrote,4,1639,0.008113590263691683,1.2039728043259361,0.009768542022928487
BENNET,admit,3,1639,0.006085192697768763,2.302585092994046,0.014011673993878575
BENNET,climate,3,1639,0.006085192697768763,1.6094379124341003,0.009793739832256189
BENNET,damn,3,1639,0.006085192697768763,2.302585092994046,0.014011673993878575
BENNET,invest,3,1639,0.006085192697768763,2.302585092994046,0.014011673993878575
BIDEN,plan,23,3525,0.023858921161825725,0.3566749439387324,0.008509879367832826
BIDEN,matter,10,3525,0.01037344398340249,1.2039728043259361,0.012489344443215105
BIDEN,buy,8,3525,0.008298755186721992,1.6094379124341003,0.013356331223519504
BIDEN,passed,7,3525,0.007261410788381743,0.6931471805599453,0.005033226414854375
BIDEN,choose,6,3525,0.006224066390041493,1.6094379124341003,0.010017248417639627
BIDEN,deal,6,3525,0.006224066390041493,0.9162907318741551,0.005703054347764451
BIDEN,idea,6,3525,0.006224066390041493,0.9162907318741551,0.005703054347764451
BIDEN,obamacare,6,3525,0.006224066390041493,2.302585092994046,0.014331442487514808
BIDEN,deductible,5,3525,0.005186721991701245,2.302585092994046,0.011942868739595673
BIDEN,rules,5,3525,0.005186721991701245,1.2039728043259361,0.006244672221607552
BOOKER,city,8,1901,0.01309328968903437,1.2039728043259361,0.015763964704758576
BOOKER,common,8,1901,0.01309328968903437,1.2039728043259361,0.015763964704758576
BOOKER,courts,5,1901,0.008183306055646482,1.6094379124341003,0.013170523015009004
BOOKER,countries,4,1901,0.006546644844517185,1.6094379124341003,0.010536418412007203
BOOKER,divide,4,1901,0.006546644844517185,2.302585092994046,0.015074206828111595
BOOKER,leader,4,1901,0.006546644844517185,1.6094379124341003,0.010536418412007203
BOOKER,sir,4,1901,0.006546644844517185,2.302585092994046,0.015074206828111595
BOOKER,aclu,3,1901,0.004909983633387889,2.302585092994046,0.011305655121083695
BOOKER,acting,3,1901,0.004909983633387889,2.302585092994046,0.011305655121083695
BOOKER,crisis,3,1901,0.004909983633387889,1.6094379124341003,0.007902313809005402
CASTRO,folks,7,1424,0.016908212560386472,1.2039728043259361,0.02035702809246752
CASTRO,nation,6,1424,0.014492753623188406,0.9162907318741551,0.013279575824263118
CASTRO,impeachment,4,1424,0.00966183574879227,1.2039728043259361,0.01163258748141001
CASTRO,garner,3,1424,0.007246376811594203,1.2039728043259361,0.008724440611057508
CASTRO,mitch,3,1424,0.007246376811594203,1.6094379124341003,0.011662593568363046
CASTRO,officer,3,1424,0.007246376811594203,1.2039728043259361,0.008724440611057508
CASTRO,bashful,2,1424,0.004830917874396135,2.302585092994046,0.011123599483063023
CASTRO,booker,2,1424,0.004830917874396135,1.6094379124341003,0.007775062378908697
CASTRO,destiny,2,1424,0.004830917874396135,1.6094379124341003,0.007775062378908697
CASTRO,electing,2,1424,0.004830917874396135,2.302585092994046,0.011123599483063023
DE BLASIO,party,10,1700,0.019267822736030827,1.2039728043259361,0.023197934572754066
DE BLASIO,nafta,6,1700,0.011560693641618497,2.302585092994046,0.0266194808438618
DE BLASIO,wealthy,6,1700,0.011560693641618497,2.302585092994046,0.0266194808438618
DE BLASIO,hear,5,1700,0.009633911368015413,1.6094379124341003,0.015505182200713874
DE BLASIO,impeachment,5,1700,0.009633911368015413,1.2039728043259361,0.011598967286377033
DE BLASIO,coverage,4,1700,0.007707129094412331,1.2039728043259361,0.009279173829101628
DE BLASIO,iran,4,1700,0.007707129094412331,1.6094379124341003,0.012404145760571101
DE BLASIO,deportations,3,1700,0.005780346820809248,2.302585092994046,0.0133097404219309
DE BLASIO,power,3,1700,0.005780346820809248,1.6094379124341003,0.009303109320428325
DE BLASIO,ready,3,1700,0.005780346820809248,1.6094379124341003,0.009303109320428325
GABBARD,deployed,5,1608,0.008912655971479501,2.302585092994046,0.020522148778913066
GABBARD,al,4,1608,0.0071301247771836,1.6094379124341003,0.011475493136785028
GABBARD,qaida,4,1608,0.0071301247771836,2.302585092994046,0.01641771902313045
GABBARD,shelter,4,1608,0.0071301247771836,2.302585092994046,0.01641771902313045
GABBARD,sick,4,1608,0.0071301247771836,1.6094379124341003,0.011475493136785028
GABBARD,blocked,3,1608,0.0053475935828877,2.302585092994046,0.012313289267347838
GABBARD,domestic,3,1608,0.0053475935828877,2.302585092994046,0.012313289267347838
GABBARD,evidence,3,1608,0.0053475935828877,1.6094379124341003,0.008606619852588772
GABBARD,hawaii,3,1608,0.0053475935828877,2.302585092994046,0.012313289267347838
GABBARD,leadership,3,1608,0.0053475935828877,1.6094379124341003,0.008606619852588772
GILLIBRAND,women,12,1422,0.027522935779816515,0.6931471805599453,0.019077445336512257
GILLIBRAND,impossible,6,1422,0.013761467889908258,1.6094379124341003,0.02214822815276285
GILLIBRAND,deterioration,4,1422,0.009174311926605505,2.302585092994046,0.02112463388067932
GILLIBRAND,mother,4,1422,0.009174311926605505,1.6094379124341003,0.014765485435175233
GILLIBRAND,ed,3,1422,0.006880733944954129,2.302585092994046,0.01584347541050949
GILLIBRAND,fired,3,1422,0.006880733944954129,2.302585092994046,0.01584347541050949
GILLIBRAND,fled,3,1422,0.006880733944954129,1.6094379124341003,0.011074114076381425
GILLIBRAND,op,3,1422,0.006880733944954129,2.302585092994046,0.01584347541050949
GILLIBRAND,primary,3,1422,0.006880733944954129,2.302585092994046,0.01584347541050949
GILLIBRAND,quote,3,1422,0.006880733944954129,2.302585092994046,0.01584347541050949
HARRIS,plan,30,3000,0.03225806451612903,0.3566749439387324,0.011505643352862334
HARRIS,women,10,3000,0.010752688172043012,0.6931471805599453,0.007453195489891885
HARRIS,position,9,3000,0.00967741935483871,0.9162907318741551,0.008867329663298276
HARRIS,access,8,3000,0.008602150537634409,0.9162907318741551,0.0078820708118206885
HARRIS,decision,8,3000,0.008602150537634409,0.9162907318741551,0.0078820708118206885
HARRIS,department,8,3000,0.008602150537634409,0.6931471805599453,0.005962556391913508
HARRIS,proud,6,3000,0.0064516129032258064,0.9162907318741551,0.005911553108865517
HARRIS,called,4,3000,0.004301075268817204,1.6094379124341003,0.006922313601867098
HARRIS,cents,4,3000,0.004301075268817204,2.302585092994046,0.009903591797823854
HARRIS,division,4,3000,0.004301075268817204,1.6094379124341003,0.006922313601867098
INSLEE,proud,10,1153,0.0273972602739726,0.9162907318741551,0.02510385566778507
INSLEE,climate,4,1153,0.010958904109589041,1.6094379124341003,0.01763767575270247
INSLEE,governor,4,1153,0.010958904109589041,2.302585092994046,0.025233809238290914
INSLEE,judgment,4,1153,0.010958904109589041,1.6094379124341003,0.01763767575270247
INSLEE,clean,3,1153,0.00821917808219178,1.6094379124341003,0.01322825681452685
INSLEE,energy,3,1153,0.00821917808219178,2.302585092994046,0.018925356928718183
INSLEE,fossil,3,1153,0.00821917808219178,2.302585092994046,0.018925356928718183
INSLEE,fuel,3,1153,0.00821917808219178,2.302585092994046,0.018925356928718183
INSLEE,offer,3,1153,0.00821917808219178,1.6094379124341003,0.01322825681452685
INSLEE,priority,3,1153,0.00821917808219178,2.302585092994046,0.018925356928718183
YANG,month,6,1260,0.014705882352941176,2.302585092994046,0.033861545485206555
YANG,start,6,1260,0.014705882352941176,0.9162907318741551,0.013474863704031692
YANG,harder,4,1260,0.00980392156862745,1.2039728043259361,0.011803654944371923
YANG,story,4,1260,0.00980392156862745,2.302585092994046,0.02257436365680437
YANG,wall,4,1260,0.00980392156862745,2.302585092994046,0.02257436365680437
YANG,agreement,3,1260,0.007352941176470588,2.302585092994046,0.016930772742603278
YANG,iran,3,1260,0.007352941176470588,1.6094379124341003,0.011834102297309562
YANG,adult,2,1260,0.004901960784313725,2.302585092994046,0.011287181828402186
YANG,automated,2,1260,0.004901960784313725,2.302585092994046,0.011287181828402186
YANG,automation,2,1260,0.004901960784313725,2.302585092994046,0.011287181828402186
