speaker,bigram,n,total
BENNET,donald trump,7,1638
BENNET,public option,5,1638
BENNET,american people,3,1638
BENNET,barack obama,3,1638
BENNET,employer based,3,1638
BENNET,white house,3,1638
BENNET,based insurance,2,1638
BENNET,beat donald,2,1638
BENNET,divisive politics,2,1638
BENNET,health care,2,1638
BIDEN,donald trump,6,3524
BIDEN,border illegally,3,3524
BIDEN,police department,3,3524
BIDEN,private insurance,3,3524
BIDEN,barack obama,2,3524
BIDEN,based insurance,2,3524
BIDEN,bernie acknowledges,2,3524
BIDEN,combat troops,2,3524
BIDEN,deeply involved,2,3524
BIDEN,employer based,2,3524
BOOKER,donald trump,11,1900
BOOKER,vice president,8,1900
BOOKER,beat donald,4,1900
BOOKER,civil courts,3,1900
BOOKER,common purpose,3,1900
BOOKER,crime bill,3,1900
BOOKER,criminal courts,2,1900
BOOKER,free world,2,1900
BOOKER,human rights,2,1900
BOOKER,impeachment proceedings,2,1900
CASTRO,donald trump,3,1423
CASTRO,eric garner,3,1423
CASTRO,family separations,2,1423
CASTRO,immigration plan,2,1423
CASTRO,impeachment proceedings,2,1423
CASTRO,mitch mcconnell,2,1423
CASTRO,move forward,2,1423
CASTRO,officer pantaleo,2,1423
CASTRO,senator booker,2,1423
CASTRO,vice president,2,1423
DE BLASIO,vice president,10,1699
DE BLASIO,donald trump,7,1699
DE BLASIO,health insurance,6,1699
DE BLASIO,american people,4,1699
DE BLASIO,health care,4,1699
DE BLASIO,justice department,4,1699
DE BLASIO,insurance companies,3,1699
DE BLASIO,private insurance,3,1699
DE BLASIO,beat donald,2,1699
DE BLASIO,class people,2,1699
GABBARD,al qaida,4,1607
GABBARD,american people,3,1607
GABBARD,blocked evidence,3,1607
GABBARD,immigration system,3,1607
GABBARD,legal immigration,3,1607
GABBARD,change wars,2,1607
GABBARD,cold war,2,1607
GABBARD,death row,2,1607
GABBARD,donald trump,2,1607
GABBARD,fair trade,2,1607
GILLIBRAND,vice president,5,1421
GILLIBRAND,health care,4,1421
GILLIBRAND,donald trump,3,1421
GILLIBRAND,op ed,3,1421
GILLIBRAND,american people,2,1421
GILLIBRAND,civil violation,2,1421
GILLIBRAND,insurance companies,2,1421
GILLIBRAND,nothing's impossible,2,1421
GILLIBRAND,president trump,2,1421
GILLIBRAND,address vice,1,1421
HARRIS,health care,10,2999
HARRIS,american families,8,2999
HARRIS,civil rights,5,2999
HARRIS,insurance companies,5,2999
HARRIS,vice president,5,2999
HARRIS,death penalty,4,2999
HARRIS,donald trump,4,2999
HARRIS,million people,4,2999
HARRIS,rights division,4,2999
HARRIS,criminal justice,3,2999
INSLEE,clean energy,3,1152
INSLEE,fossil fuel,3,1152
INSLEE,top priority,3,1152
INSLEE,bold ambitious,2,1152
INSLEE,climate change,2,1152
INSLEE,climate crisis,2,1152
INSLEE,donald trump,2,1152
INSLEE,mental health,2,1152
INSLEE,accountability measures,1,1152
INSLEE,adequate judgment,1,1152
YANG,donald trump,5,1259
YANG,health care,4,1259
YANG,american people,3,1259
YANG,de escalate,2,1259
YANG,escalate tensions,2,1259
YANG,game changer,2,1259
YANG,manufacturing jobs,2,1259
YANG,reality tv,2,1259
YANG,start investing,2,1259
YANG,abroad reflects,1,1259
