night,bigram,n,total,tf,idf,tf_idf
first,universal background checks,6,21346,0.010101010101010102,0.6931471805599453,0.0070014866723226805
first,student loan debt,5,21346,0.008417508417508417,0.6931471805599453,0.005834572226935566
first,chief manufacturing officer,4,21346,0.006734006734006734,0.6931471805599453,0.004667657781548453
first,comprehensive immigration reform,3,21346,0.005050505050505051,0.6931471805599453,0.0035007433361613403
first,health care industry,3,21346,0.005050505050505051,0.6931471805599453,0.0035007433361613403
first,multi national corporations,3,21346,0.005050505050505051,0.6931471805599453,0.0035007433361613403
first,short term profits,3,21346,0.005050505050505051,0.6931471805599453,0.0035007433361613403
first,address climate change,2,21346,0.003367003367003367,0.6931471805599453,0.0023338288907742265
first,african american neighborhood,2,21346,0.003367003367003367,0.6931471805599453,0.0023338288907742265
first,capital gains rate,2,21346,0.003367003367003367,0.6931471805599453,0.0023338288907742265
second,vice president biden,6,18612,0.0169971671388102,0.6931471805599453,0.011781538479772442
second,civil rights division,4,18612,0.0113314447592068,0.6931471805599453,0.00785435898651496
second,criminal justice system,4,18612,0.0113314447592068,0.6931471805599453,0.00785435898651496
second,employer based insurance,4,18612,0.0113314447592068,0.6931471805599453,0.00785435898651496
second,legal immigration system,4,18612,0.0113314447592068,0.6931471805599453,0.00785435898651496
second,criminal justice reform,3,18612,0.0084985835694051,0.6931471805599453,0.005890769239886221
second,de escalate tensions,2,18612,0.0056657223796034,0.6931471805599453,0.00392717949325748
second,middle class people,2,18612,0.0056657223796034,0.6931471805599453,0.00392717949325748
second,pre existing conditions,2,18612,0.0056657223796034,0.6931471805599453,0.00392717949325748
second,private detention facility,2,18612,0.0056657223796034,0.6931471805599453,0.00392717949325748
