speaker,bigram,n,total,tf,idf,tf_idf
BULLOCK,koch brothers,4,1987,0.0223463687150838,2.302585092994046,0.05145441548590047
BULLOCK,address climate,2,1987,0.0111731843575419,2.302585092994046,0.025727207742950235
BULLOCK,america's strength,2,1987,0.0111731843575419,2.302585092994046,0.025727207742950235
BULLOCK,bad news,2,1987,0.0111731843575419,2.302585092994046,0.025727207742950235
BULLOCK,citizens united,2,1987,0.0111731843575419,1.6094379124341003,0.01798254650764358
BULLOCK,dark money,2,1987,0.0111731843575419,2.302585092994046,0.025727207742950235
BULLOCK,drug prices,2,1987,0.0111731843575419,1.6094379124341003,0.01798254650764358
BULLOCK,governor's house,2,1987,0.0111731843575419,2.302585092994046,0.025727207742950235
BULLOCK,gun violence,2,1987,0.0111731843575419,1.2039728043259361,0.013452210104200404
BULLOCK,homeland security,2,1987,0.0111731843575419,2.302585092994046,0.025727207742950235
BUTTIGIEG,corporate options,3,2571,0.014150943396226415,2.302585092994046,0.03258375131595348
BUTTIGIEG,health coverage,3,2571,0.014150943396226415,2.302585092994046,0.03258375131595348
BUTTIGIEG,citizens united,2,2571,0.009433962264150943,1.6094379124341003,0.015183376532397172
BUTTIGIEG,civil law,2,2571,0.009433962264150943,2.302585092994046,0.02172250087730232
BUTTIGIEG,crazy socialists,2,2571,0.009433962264150943,2.302585092994046,0.02172250087730232
BUTTIGIEG,david duke,2,2571,0.009433962264150943,2.302585092994046,0.02172250087730232
BUTTIGIEG,endless war,2,2571,0.009433962264150943,1.6094379124341003,0.015183376532397172
BUTTIGIEG,minimum wage,2,2571,0.009433962264150943,1.6094379124341003,0.015183376532397172
BUTTIGIEG,profit colleges,2,2571,0.009433962264150943,2.302585092994046,0.02172250087730232
BUTTIGIEG,structural reform,2,2571,0.009433962264150943,2.302585092994046,0.02172250087730232
DELANEY,impossible promises,5,1924,0.02109704641350211,2.302585092994046,0.04857774457793346
DELANEY,universal health,5,1924,0.02109704641350211,1.6094379124341003,0.033954386338272156
DELANEY,private sector,4,1924,0.016877637130801686,1.6094379124341003,0.027163509070617722
DELANEY,real solutions,4,1924,0.016877637130801686,2.302585092994046,0.03886219566234676
DELANEY,wealthy americans,4,1924,0.016877637130801686,2.302585092994046,0.03886219566234676
DELANEY,capital gains,3,1924,0.012658227848101266,1.6094379124341003,0.020372631802963295
DELANEY,pacific partnership,3,1924,0.012658227848101266,2.302585092994046,0.029146646746760076
DELANEY,real solution,3,1924,0.012658227848101266,2.302585092994046,0.029146646746760076
DELANEY,trans pacific,3,1924,0.012658227848101266,2.302585092994046,0.029146646746760076
DELANEY,wealthy individuals,3,1924,0.012658227848101266,2.302585092994046,0.029146646746760076
HICKENLOOPER,people choose,3,1606,0.02158273381294964,2.302585092994046,0.04969608114375639
HICKENLOOPER,bottom line,2,1606,0.014388489208633094,1.6094379124341003,0.023157380035023028
HICKENLOOPER,expanded health,2,1606,0.014388489208633094,2.302585092994046,0.03313072076250426
HICKENLOOPER,tax cut,2,1606,0.014388489208633094,1.6094379124341003,0.023157380035023028
HICKENLOOPER,track record,2,1606,0.014388489208633094,2.302585092994046,0.03313072076250426
HICKENLOOPER,trade war,2,1606,0.014388489208633094,1.6094379124341003,0.023157380035023028
HICKENLOOPER,affordable housing,1,1606,0.007194244604316547,2.302585092994046,0.01656536038125213
HICKENLOOPER,american's guaranteed,1,1606,0.007194244604316547,2.302585092994046,0.01656536038125213
HICKENLOOPER,attacked climate,1,1606,0.007194244604316547,2.302585092994046,0.01656536038125213
HICKENLOOPER,ballot box,1,1606,0.007194244604316547,2.302585092994046,0.01656536038125213
KLOBUCHAR,background checks,3,2101,0.018404907975460124,0.9162907318741551,0.01686424659891083
KLOBUCHAR,economic opportunity,3,2101,0.018404907975460124,2.302585092994046,0.04237886674222171
KLOBUCHAR,universal background,3,2101,0.018404907975460124,0.9162907318741551,0.01686424659891083
KLOBUCHAR,african american,2,2101,0.012269938650306749,1.2039728043259361,0.014772672445717007
KLOBUCHAR,border security,2,2101,0.012269938650306749,1.2039728043259361,0.014772672445717007
KLOBUCHAR,butter issue,2,2101,0.012269938650306749,2.302585092994046,0.028252577828147805
KLOBUCHAR,nuclear agreement,2,2101,0.012269938650306749,2.302585092994046,0.028252577828147805
KLOBUCHAR,option bill,2,2101,0.012269938650306749,2.302585092994046,0.028252577828147805
KLOBUCHAR,african neighborhood,1,2101,0.006134969325153374,2.302585092994046,0.014126288914073902
KLOBUCHAR,alabama lost,1,2101,0.006134969325153374,2.302585092994046,0.014126288914073902
O'ROURKE,affordable care,2,1956,0.010101010101010102,1.6094379124341003,0.01625694861044546
O'ROURKE,care act,2,1956,0.010101010101010102,1.6094379124341003,0.01625694861044546
O'ROURKE,college votes,2,1956,0.010101010101010102,2.302585092994046,0.023258435282768143
O'ROURKE,el paso,2,1956,0.010101010101010102,2.302585092994046,0.023258435282768143
O'ROURKE,electoral college,2,1956,0.010101010101010102,1.6094379124341003,0.01625694861044546
O'ROURKE,employer sponsored,2,1956,0.010101010101010102,1.6094379124341003,0.01625694861044546
O'ROURKE,human rights,2,1956,0.010101010101010102,1.6094379124341003,0.01625694861044546
O'ROURKE,sponsored insurance,2,1956,0.010101010101010102,2.302585092994046,0.023258435282768143
O'ROURKE,abroad successfully,1,1956,0.005050505050505051,2.302585092994046,0.011629217641384072
O'ROURKE,action committee,1,1956,0.005050505050505051,2.302585092994046,0.011629217641384072
RYAN,chief manufacturing,4,1792,0.02247191011235955,2.302585092994046,0.05174348523582126
RYAN,manufacturing officer,4,1792,0.02247191011235955,2.302585092994046,0.05174348523582126
RYAN,china dominates,3,1792,0.016853932584269662,2.302585092994046,0.03880761392686594
