speaker,word,n
BULLOCK,president,9
BULLOCK,people,8
BULLOCK,america,7
BULLOCK,health,7
BULLOCK,care,6
BULLOCK,climate,6
BULLOCK,folks,6
BULLOCK,life,6
BULLOCK,americans,5
BULLOCK,change,5
BUTTIGIEG,president,13
BUTTIGIEG,country,8
BUTTIGIEG,people,8
BUTTIGIEG,community,7
BUTTIGIEG,american,6
BUTTIGIEG,school,6
BUTTIGIEG,care,5
BUTTIGIEG,congress,5
BUTTIGIEG,crisis,5
BUTTIGIEG,health,5
DELANEY,health,18
DELANEY,care,15
DELANEY,president,11
DELANEY,private,9
DELANEY,wealthy,9
DELANEY,medicare,8
DELANEY,people,8
DELANEY,tax,8
DELANEY,country,7
DELANEY,real,7
HICKENLOOPER,country,10
HICKENLOOPER,people,10
HICKENLOOPER,trump,6
HICKENLOOPER,donald,5
HICKENLOOPER,trade,5
HICKENLOOPER,world,5
HICKENLOOPER,change,4
HICKENLOOPER,choose,4
HICKENLOOPER,climate,4
HICKENLOOPER,created,4
KLOBUCHAR,people,19
KLOBUCHAR,president,12
KLOBUCHAR,bill,7
KLOBUCHAR,win,6
KLOBUCHAR,country,5
KLOBUCHAR,kids,5
KLOBUCHAR,money,5
KLOBUCHAR,won,5
KLOBUCHAR,background,4
KLOBUCHAR,border,4
O'ROURKE,country,22
O'ROURKE,people,14
O'ROURKE,care,10
O'ROURKE,american,7
O'ROURKE,president,7
O'ROURKE,texas,7
O'ROURKE,america,6
O'ROURKE,health,6
O'ROURKE,bring,5
O'ROURKE,challenge,5
RYAN,healthcare,10
RYAN,china,9
RYAN,system,9
RYAN,united,9
RYAN,people,8
RYAN,percent,8
RYAN,country,7
RYAN,left,7
RYAN,plan,7
RYAN,union,7
SANDERS,people,20
SANDERS,health,13
SANDERS,america,11
SANDERS,care,11
SANDERS,industry,11
SANDERS,american,10
SANDERS,companies,9
SANDERS,country,9
SANDERS,insurance,9
SANDERS,system,9
WARREN,people,19
WARREN,health,14
WARREN,world,14
WARREN,fight,13
WARREN,insurance,13
WARREN,donald,12
WARREN,care,11
WARREN,country,11
WARREN,trump,11
WARREN,companies,9
WILLIAMSON,people,19
WILLIAMSON,billion,9
WILLIAMSON,policies,7
WILLIAMSON,trump,7
WILLIAMSON,concern,5
WILLIAMSON,country,5
WILLIAMSON,donald,5
WILLIAMSON,fight,5
WILLIAMSON,flint,5
WILLIAMSON,party,5
